cid,receptor,label
4409,ERalpha,hard_negative
443955,ERalpha,hard_negative
3334,ERalpha,hard_negative
5281004,ERalpha,hard_negative
5472,ERalpha,hard_negative
2082,ERalpha,hard_negative
43231,ERalpha,hard_negative
4594,ERalpha,hard_negative
6714002,ERalpha,hard_negative
3784,ERalpha,hard_negative
54454,ERalpha,hard_negative
2769,ERalpha,hard_negative
57363,ERalpha,hard_negative
8813,ERalpha,positive
5018304,ERalpha,hard_negative
38911,ERalpha,positive
23671691,ERalpha,hard_negative
1548943,ERalpha,hard_negative
6758,ERalpha,positive
10531,ERalpha,hard_negative
3728,ERalpha,positive
2153,ERalpha,hard_negative
8691,ERalpha,positive
2406,ERalpha,positive
4764,ERalpha,positive
5853,ERalpha,hard_negative
4622,ERalpha,hard_negative
71651,ERalpha,hard_negative
5327,ERalpha,hard_negative
3295,ERalpha,hard_negative
6215,ERalpha,hard_negative
10607,ERalpha,hard_negative
5952,ERalpha,hard_negative
16574,ERalpha,positive
5753,ERalpha,hard_negative
104845,ERalpha,hard_negative
53232,ERalpha,hard_negative
5311067,ERalpha,hard_negative
30323,ERalpha,positive
10219,ERalpha,positive
31101,ERalpha,positive
68186,ERalpha,positive
2733525,ERalpha,positive
104741,ERalpha,positive
45073437,ERalpha,hard_negative
6167,ERalpha,positive
45356872,ERalpha,positive
55245,ERalpha,positive
4235,ERalpha,hard_negative
2999413,ERalpha,hard_negative
69588,ERalpha,hard_negative
6129,ERalpha,hard_negative
448537,ERalpha,positive
5288209,ERalpha,positive
460612,ERalpha,hard_negative
136276712,ERalpha,hard_negative
5865,ERalpha,hard_negative
76973791,ERalpha,positive
5794,ERalpha,hard_negative
338733,ERalpha,hard_negative
7175,ERalpha,hard_negative
3039,ERalpha,positive
9880,ERalpha,positive
16682730,ERalpha,positive
11057,ERalpha,positive
441140,ERalpha,positive
667493,ERalpha,hard_negative
7108,ERalpha,hard_negative
1483,ERalpha,positive
3598,ERalpha,positive
3610,ERalpha,positive
5770,ERalpha,positive
3037,ERalpha,hard_negative
1732,ERalpha,hard_negative
12358480,ERalpha,hard_negative
14710,ERalpha,positive
5281034,ERalpha,hard_negative
6597,ERalpha,hard_negative
2662,ERalpha,positive
6604200,ERalpha,positive
637511,ERalpha,hard_negative
8425,ERalpha,hard_negative
5991,ERalpha,hard_negative
5757,ERalpha,hard_negative
22571,ERalpha,hard_negative
3346,ERalpha,hard_negative
5935,ERalpha,hard_negative
61444,ERalpha,positive
26041,ERalpha,positive
9787,ERalpha,positive
636362,ERalpha,positive
28767,ERalpha,hard_negative
6433339,ERalpha,positive
57333099,ERalpha,hard_negative
54685925,ERalpha,hard_negative
56801,ERalpha,hard_negative
5329098,ERalpha,positive
73093,ERalpha,hard_negative
11957725,ERalpha,hard_negative
2871,ERalpha,hard_negative
3120,ERalpha,hard_negative
727,ERalpha,hard_negative
6434889,ERalpha,positive
3352,ERalpha,positive
136122621,ERalpha,hard_negative
443101,ERalpha,positive
443311,ERalpha,positive
161803,ERalpha,hard_negative
3316,ERalpha,hard_negative
32798,ERalpha,hard_negative
5284623,ERalpha,positive
16129778,ERalpha,hard_negative
123608,ERalpha,hard_negative
51040,ERalpha,hard_negative
119607,ERalpha,hard_negative
5362123,ERalpha,hard_negative
150311,ERalpha,hard_negative
13789,ERalpha,hard_negative
3002190,ERalpha,hard_negative
60699,ERalpha,positive
179336,ERalpha,positive
6975516,ERalpha,hard_negative
5746,ERalpha,positive
5388983,ERalpha,positive
5318517,ERalpha,hard_negative
60496,ERalpha,hard_negative
8609,ERalpha,hard_negative
222786,ERalpha,hard_negative
454937,ERalpha,hard_negative
16757820,ERalpha,hard_negative
4616,ERalpha,hard_negative
23663400,ERalpha,positive
443831,ERalpha,positive
11876263,ERalpha,hard_negative
11313,ERalpha,hard_negative
60962,ERalpha,hard_negative
6518,ERalpha,hard_negative
40326,ERalpha,hard_negative
23706212,ERalpha,hard_negative
5564,ERalpha,hard_negative
7347,ERalpha,hard_negative
123631,ERalpha,positive
5281078,ERalpha,positive
2118,ERalpha,positive
5282219,ERalpha,positive
7232,ERalpha,hard_negative
135398739,ERalpha,hard_negative
14720269,ERalpha,hard_negative
443375,ERalpha,positive
443872,ERalpha,hard_negative
68827,ERalpha,positive
60712,ERalpha,positive
56463,ERalpha,hard_negative
11350,ERalpha,hard_negative
65776,ERalpha,hard_negative
5282198,ERalpha,positive
68909,ERalpha,hard_negative
6075,ERalpha,positive
72157,ERalpha,hard_negative
155143,ERalpha,hard_negative
60605,ERalpha,hard_negative
3005572,ERalpha,positive
250948,ERalpha,hard_negative
9454,ERalpha,hard_negative
71693,ERalpha,hard_negative
6719,ERalpha,positive
71645,ERalpha,hard_negative
5355130,ERalpha,hard_negative
17693,ERalpha,hard_negative
165457,ERalpha,hard_negative
12895035,ERalpha,positive
23716429,ERalpha,positive
56846451,ERalpha,hard_negative
45006154,ERalpha,hard_negative
457193,ERalpha,positive
5282138,ERalpha,positive
8955,ERalpha,hard_negative
6321253,ERalpha,hard_negative
443884,ERalpha,hard_negative
6321424,ERalpha,positive
31402,ERalpha,hard_negative
16760569,ERalpha,positive
12922658,ERalpha,positive
20054868,ERalpha,positive
5377791,ERalpha,positive
5392,ERalpha,positive
91744,ERalpha,positive
7547,ERalpha,positive
23673837,ERalpha,positive
7180,ERalpha,hard_negative
15797,ERalpha,hard_negative
5819,ERalpha,hard_negative
36314,ERalpha,hard_negative
28417,ERalpha,positive
1550232,ERalpha,positive
11104,ERalpha,hard_negative
65784,ERalpha,hard_negative
11033,ERalpha,hard_negative
71339,ERalpha,hard_negative
3033825,ERalpha,hard_negative
92727,ERalpha,positive
68873,ERalpha,hard_negative
444025,ERalpha,hard_negative
65664,ERalpha,positive
60164,ERalpha,positive
6456015,ERalpha,positive
4499,ERalpha,positive
2898,ERalpha,hard_negative
6536,ERalpha,positive
60196293,ERalpha,positive
220401,ERalpha,hard_negative
5756,ERalpha,hard_negative
65057,ERalpha,positive
9046,ERalpha,hard_negative
37907,ERalpha,hard_negative
4807,ERalpha,hard_negative
9370,ERalpha,positive
17113,ERalpha,hard_negative
243274,ERalpha,hard_negative
446925,ERalpha,hard_negative
157355,ERalpha,hard_negative
33611,ERalpha,hard_negative
21881620,ERalpha,hard_negative
136122663,ERalpha,positive
441351,ERalpha,hard_negative
5362376,ERalpha,hard_negative
40973,ERalpha,hard_negative
656583,ERalpha,hard_negative
6918178,ERalpha,hard_negative
9801803,ERalpha,positive
2541,ERalpha,positive
5282164,ERalpha,hard_negative
153751,ERalpha,positive
6918155,ERalpha,positive
406563,ERalpha,positive
157917,ERalpha,positive
150762,ERalpha,positive
6099,ERalpha,hard_negative
56704,ERalpha,hard_negative
168088,ERalpha,hard_negative
2724259,ERalpha,positive
23663985,ERalpha,hard_negative
60196297,ERalpha,positive
48229,ERalpha,hard_negative
6432394,ERalpha,positive
472335,ERalpha,positive
3345,ERalpha,hard_negative
4890,ERalpha,positive
83975,ERalpha,positive
443936,ERalpha,hard_negative
387447,ERalpha,positive
60749,ERalpha,positive
8550,ERalpha,positive
5283718,ERalpha,positive
82146,ERalpha,positive
111332,ERalpha,hard_negative
5365672,ERalpha,hard_negative
448013,ERalpha,hard_negative
5284610,ERalpha,positive
108150,ERalpha,positive
148124,ERalpha,hard_negative
135449328,ERalpha,hard_negative
23672302,ERalpha,hard_negative
644280,ERalpha,hard_negative
151194,ERalpha,positive
1013376,ERalpha,positive
46781343,ERalpha,hard_negative
92942,ERalpha,hard_negative
91864482,ERalpha,hard_negative
15984075,ERalpha,hard_negative
5281091,ERalpha,positive
50878597,ERalpha,hard_negative
214348,ERalpha,positive
3003141,ERalpha,hard_negative
9833444,ERalpha,hard_negative
9938056,ERalpha,positive
5281104,ERalpha,positive
444021,ERalpha,positive
443868,ERalpha,positive
154256,ERalpha,positive
10382,ERalpha,positive
5833,ERalpha,positive
44460585,ERalpha,positive
3016,ERalpha,hard_negative
11556711,ERalpha,positive
8293,ERalpha,hard_negative
148192,ERalpha,hard_negative
50491,ERalpha,positive
8111,ERalpha,hard_negative
1548955,ERalpha,positive
11065,ERalpha,positive
5994,ERalpha,hard_negative
6446,ERalpha,hard_negative
6010,ERalpha,hard_negative
21700,ERalpha,hard_negative
10113978,ERalpha,positive
16052038,ERalpha,hard_negative
10212,ERalpha,hard_negative
122797,ERalpha,hard_negative
68547,ERalpha,positive
10455790,ERalpha,positive
60810,ERalpha,positive
34870,ERalpha,hard_negative
26391,ERalpha,positive
208836,ERalpha,hard_negative
9570290,ERalpha,hard_negative
13081,ERalpha,hard_negative
6918454,ERalpha,positive
176167,ERalpha,positive
5832,ERalpha,hard_negative
6526396,ERalpha,hard_negative
156422,ERalpha,positive
9910986,ERalpha,positive
92146,ERalpha,hard_negative
643684,ERalpha,positive
697993,ERalpha,hard_negative
996,ERalpha,hard_negative
5745,ERalpha,hard_negative
55008,ERalpha,positive
2969,ERalpha,hard_negative
6054,ERalpha,hard_negative
60196359,ERalpha,positive
5870,ERalpha,hard_negative
2912,ERalpha,hard_negative
135413536,ERalpha,positive
6450551,ERalpha,positive
656667,ERalpha,positive
60196366,ERalpha,positive
5284587,ERalpha,hard_negative
11626384,ERalpha,positive
468595,ERalpha,positive
5311454,ERalpha,hard_negative
75195,ERalpha,positive
7483,ERalpha,hard_negative
154914,ERalpha,positive
12443,ERalpha,hard_negative
7595,ERalpha,hard_negative
8247,ERalpha,positive
15752,ERalpha,hard_negative
3894848,ERalpha,hard_negative
29872,ERalpha,hard_negative
5842000,ERalpha,positive
16682740,ERalpha,positive
5743,ERalpha,hard_negative
7321,ERalpha,hard_negative
5364713,ERalpha,positive
36159,ERalpha,hard_negative
115157,ERalpha,positive
40301,ERalpha,hard_negative
7472,ERalpha,positive
50516,ERalpha,hard_negative
115089,ERalpha,hard_negative
15206,ERalpha,hard_negative
24937,ERalpha,hard_negative
22086,ERalpha,hard_negative
11356,ERalpha,hard_negative
6319,ERalpha,positive
6828,ERalpha,hard_negative
7589,ERalpha,positive
7102,ERalpha,hard_negative
7441,ERalpha,hard_negative
3068143,ERalpha,positive
1091,ERalpha,positive
7568,ERalpha,hard_negative
33934,ERalpha,hard_negative
13297,ERalpha,hard_negative
197873,ERalpha,positive
14138,ERalpha,positive
8570,ERalpha,hard_negative
87250,ERalpha,hard_negative
17569,ERalpha,positive
586708,ERalpha,positive
56638112,ERalpha,hard_negative
23019,ERalpha,positive
53316406,ERalpha,positive
84677,ERalpha,positive
102724,ERalpha,positive
3015167,ERalpha,positive
12040509,ERalpha,positive
11461044,ERalpha,positive
22239085,ERalpha,positive
2734227,ERalpha,positive
10250129,ERalpha,positive
7543,ERalpha,positive
67349,ERalpha,hard_negative
11375816,ERalpha,positive
8407,ERalpha,hard_negative
7495,ERalpha,positive
7331,ERalpha,hard_negative
16212610,ERalpha,positive
6053,ERalpha,hard_negative
93221,ERalpha,positive
6979,ERalpha,hard_negative
16218822,ERalpha,positive
10824,ERalpha,positive
5897,ERalpha,hard_negative
20701,ERalpha,hard_negative
8540,ERalpha,positive
13428,ERalpha,hard_negative
5281567,ERalpha,hard_negative
17231,ERalpha,positive
5930,ERalpha,positive
13636,ERalpha,positive
449459,ERalpha,positive
18728,ERalpha,hard_negative
20167,ERalpha,hard_negative
2723951,ERalpha,hard_negative
11247,ERalpha,hard_negative
2734117,ERalpha,positive
69317,ERalpha,hard_negative
6787,ERalpha,hard_negative
19996,ERalpha,positive
33133,ERalpha,hard_negative
38764,ERalpha,hard_negative
637930,ERalpha,hard_negative
5281576,ERalpha,positive
73668,ERalpha,hard_negative
62770,ERalpha,positive
5280863,ERalpha,positive
320930,ERalpha,hard_negative
6389,ERalpha,hard_negative
79717,ERalpha,positive
13514,ERalpha,positive
1752,ERalpha,hard_negative
2733526,ERalpha,positive
12955,ERalpha,hard_negative
3035,ERalpha,hard_negative
68570,ERalpha,hard_negative
6635,ERalpha,hard_negative
9502,ERalpha,hard_negative
8572,ERalpha,hard_negative
8413,ERalpha,hard_negative
6294,ERalpha,hard_negative
11742,ERalpha,positive
13,ERalpha,hard_negative
8805,ERalpha,hard_negative
6732,ERalpha,positive
2724189,ERalpha,hard_negative
6537,ERalpha,hard_negative
4169,ERalpha,hard_negative
8846,ERalpha,hard_negative
6672,ERalpha,hard_negative
7567,ERalpha,hard_negative
18529,ERalpha,hard_negative
7592,ERalpha,hard_negative
32154,ERalpha,hard_negative
15531,ERalpha,hard_negative
40585,ERalpha,hard_negative
7946,ERalpha,hard_negative
39327,ERalpha,hard_negative
40399,ERalpha,hard_negative
65064,ERalpha,hard_negative
43234,ERalpha,hard_negative
26295,ERalpha,hard_negative
73675,ERalpha,positive
2734956,ERalpha,positive
41206,ERalpha,hard_negative
8289,ERalpha,hard_negative
16560,ERalpha,hard_negative
8561,ERalpha,hard_negative
67172,ERalpha,positive
47326,ERalpha,hard_negative
5280443,ERalpha,positive
6529,ERalpha,hard_negative
7327,ERalpha,hard_negative
73672,ERalpha,hard_negative
7076,ERalpha,hard_negative
10707,ERalpha,hard_negative
5284441,ERalpha,hard_negative
299,ERalpha,positive
13806,ERalpha,positive
9275,ERalpha,positive
20083,ERalpha,hard_negative
43226,ERalpha,positive
6295,ERalpha,hard_negative
8371,ERalpha,positive
12688,ERalpha,positive
6702,ERalpha,hard_negative
15910,ERalpha,positive
6854,ERalpha,hard_negative
67271,ERalpha,hard_negative
9128,ERalpha,hard_negative
4931,ERalpha,positive
76302,ERalpha,positive
10522,ERalpha,positive
5934,ERalpha,hard_negative
11831,ERalpha,hard_negative
4933,ERalpha,hard_negative
31356,ERalpha,positive
27189,ERalpha,hard_negative
5361514,ERalpha,hard_negative
162461,ERalpha,hard_negative
2728,ERalpha,hard_negative
29732,ERalpha,positive
6950,ERalpha,positive
8663,ERalpha,hard_negative
8679,ERalpha,hard_negative
5283349,ERalpha,positive
38479,ERalpha,hard_negative
11933,ERalpha,positive
3589,ERalpha,hard_negative
36242,ERalpha,hard_negative
6336,ERalpha,hard_negative
32933,ERalpha,positive
6028,ERalpha,positive
5125,ERalpha,hard_negative
2268,ERalpha,hard_negative
86607,ERalpha,hard_negative
7516,ERalpha,hard_negative
8607,ERalpha,positive
638024,ERalpha,hard_negative
1318,ERalpha,positive
18725,ERalpha,hard_negative
991,ERalpha,hard_negative
9889168,ERalpha,positive
27465,ERalpha,positive
26124,ERalpha,hard_negative
643820,ERalpha,hard_negative
6914,ERalpha,hard_negative
12310947,ERalpha,hard_negative
158076,ERalpha,hard_negative
82343,ERalpha,positive
8152,ERalpha,positive
7005,ERalpha,hard_negative
14050,ERalpha,positive
81259,ERalpha,positive
992,ERalpha,positive
5053,ERalpha,hard_negative
7813,ERalpha,hard_negative
62311,ERalpha,positive
11883,ERalpha,hard_negative
39676,ERalpha,hard_negative
43079,ERalpha,hard_negative
26177,ERalpha,positive
8455,ERalpha,hard_negative
31374,ERalpha,hard_negative
8615,ERalpha,positive
108938,ERalpha,hard_negative
8369,ERalpha,hard_negative
62306,ERalpha,hard_negative
7103,ERalpha,hard_negative
36606,ERalpha,hard_negative
6868,ERalpha,positive
13089,ERalpha,hard_negative
38037,ERalpha,hard_negative
8689,ERalpha,positive
7340,ERalpha,positive
6014,ERalpha,positive
6478,ERalpha,hard_negative
8571,ERalpha,hard_negative
4793,ERalpha,hard_negative
4130,ERalpha,hard_negative
86102,ERalpha,hard_negative
17170,ERalpha,positive
7430,ERalpha,hard_negative
10377,ERalpha,positive
107377,ERalpha,positive
34192,ERalpha,hard_negative
3224,ERalpha,hard_negative
13283,ERalpha,hard_negative
12472902,ERalpha,positive
2730,ERalpha,hard_negative
16685,ERalpha,hard_negative
8305,ERalpha,hard_negative
7031,ERalpha,hard_negative
9395,ERalpha,positive
15787,ERalpha,hard_negative
8411,ERalpha,hard_negative
980,ERalpha,hard_negative
1988,ERalpha,positive
3225,ERalpha,hard_negative
76013,ERalpha,hard_negative
7807,ERalpha,positive
37034,ERalpha,hard_negative
5362708,ERalpha,positive
10771,ERalpha,hard_negative
10208,ERalpha,hard_negative
19283,ERalpha,hard_negative
5371728,ERalpha,positive
28803,ERalpha,positive
78738,ERalpha,hard_negative
73415808,ERalpha,positive
1674,ERalpha,hard_negative
24007,ERalpha,positive
23892,ERalpha,hard_negative
16217238,ERalpha,positive
11181836,ERalpha,positive
22078297,ERalpha,positive
2734225,ERalpha,positive
2775940,ERalpha,positive
46226173,ERalpha,positive
23160059,ERalpha,positive
16211417,ERalpha,positive
16211849,ERalpha,hard_negative
18506491,ERalpha,positive
60196375,ERalpha,positive
24944555,ERalpha,positive
60196379,ERalpha,positive
2734229,ERalpha,positive
12038941,ERalpha,hard_negative
5368491,ERalpha,hard_negative
14425,ERalpha,positive
9117,ERalpha,hard_negative
75628,ERalpha,hard_negative
22882,ERalpha,positive
71027,ERalpha,positive
84703,ERalpha,hard_negative
15412,ERalpha,hard_negative
387179,ERalpha,hard_negative
67589,ERalpha,positive
107882,ERalpha,hard_negative
68297,ERalpha,hard_negative
104677,ERalpha,positive
7296,ERalpha,hard_negative
27882,ERalpha,hard_negative
6528,ERalpha,hard_negative
7571,ERalpha,hard_negative
3014138,ERalpha,hard_negative
11309,ERalpha,hard_negative
69908,ERalpha,hard_negative
6724,ERalpha,hard_negative
74867,ERalpha,hard_negative
28308,ERalpha,hard_negative
82703,ERalpha,hard_negative
15529,ERalpha,positive
1539,ERalpha,hard_negative
5377323,ERalpha,hard_negative
34697,ERalpha,hard_negative
26176,ERalpha,hard_negative
10680,ERalpha,hard_negative
7381,ERalpha,hard_negative
2347,ERalpha,hard_negative
3220,ERalpha,hard_negative
10868,ERalpha,positive
14257,ERalpha,hard_negative
3286,ERalpha,hard_negative
9799979,ERalpha,positive
9831581,ERalpha,hard_negative
3086618,ERalpha,hard_negative
6918686,ERalpha,hard_negative
15981450,ERalpha,hard_negative
153939,ERalpha,hard_negative
11472813,ERalpha,hard_negative
9931156,ERalpha,hard_negative
10233356,ERalpha,positive
9882837,ERalpha,positive
60196403,ERalpha,hard_negative
9849616,ERalpha,positive
9895468,ERalpha,positive
60196405,ERalpha,positive
53316382,ERalpha,hard_negative
60196406,ERalpha,positive
25099474,ERalpha,hard_negative
24809526,ERalpha,positive
61253,ERalpha,positive
67821,ERalpha,positive
2374,ERalpha,positive
93118,ERalpha,positive
16421,ERalpha,hard_negative
9935274,ERalpha,positive
18551400,ERalpha,hard_negative
9888347,ERalpha,hard_negative
53316393,ERalpha,hard_negative
9819350,ERalpha,hard_negative
53316398,ERalpha,positive
33599,ERalpha,hard_negative
23667548,ERalpha,hard_negative
2776282,ERalpha,positive
9555,ERalpha,positive
21387,ERalpha,hard_negative
833466,ERalpha,positive
11723708,ERalpha,positive
86296,ERalpha,hard_negative
24814,ERalpha,positive
104926,ERalpha,hard_negative
8433,ERalpha,hard_negative
9554,ERalpha,positive
13905,ERalpha,hard_negative
91753,ERalpha,hard_negative
91768,ERalpha,hard_negative
107720,ERalpha,positive
12932,ERalpha,positive
14994,ERalpha,positive
38779,ERalpha,positive
13940,ERalpha,hard_negative
10342051,ERalpha,hard_negative
22833503,ERalpha,positive
11048796,ERalpha,positive
107080,ERalpha,hard_negative
5372405,ERalpha,hard_negative
6436605,ERalpha,positive
5803450,ERalpha,hard_negative
249494,ERalpha,hard_negative
122087,ERalpha,positive
54778,ERalpha,hard_negative
14145,ERalpha,positive
29216,ERalpha,hard_negative
5284341,ERalpha,hard_negative
7693,ERalpha,positive
86222,ERalpha,hard_negative
7828,ERalpha,hard_negative
213031,ERalpha,positive
9578570,ERalpha,positive
86398,ERalpha,positive
3794540,ERalpha,hard_negative
86429,ERalpha,hard_negative
50367,ERalpha,positive
91754,ERalpha,positive
93379,ERalpha,positive
33360,ERalpha,hard_negative
22833489,ERalpha,positive
213032,ERalpha,positive
11826859,ERalpha,hard_negative
5355863,ERalpha,hard_negative
7328,ERalpha,hard_negative
47938,ERalpha,positive
19587,ERalpha,hard_negative
86132,ERalpha,hard_negative
8010,ERalpha,hard_negative
51605,ERalpha,positive
36870,ERalpha,hard_negative
11437710,ERalpha,hard_negative
87323,ERalpha,positive
91683,ERalpha,hard_negative
54678504,ERalpha,hard_negative
53672,ERalpha,hard_negative
91692,ERalpha,positive
66573,ERalpha,hard_negative
91693,ERalpha,positive
4778,ERalpha,positive
6636,ERalpha,hard_negative
11488,ERalpha,hard_negative
15530,ERalpha,positive
21330,ERalpha,hard_negative
118703,ERalpha,hard_negative
91664,ERalpha,hard_negative
27295,ERalpha,hard_negative
37125,ERalpha,hard_negative
87391,ERalpha,hard_negative
94932,ERalpha,hard_negative
66609,ERalpha,hard_negative
38884,ERalpha,hard_negative
60196420,ERalpha,hard_negative
1474,ERalpha,hard_negative
85821,ERalpha,positive
81346,ERalpha,hard_negative
75444,ERalpha,positive
94684,ERalpha,hard_negative
16143,ERalpha,hard_negative
51369,ERalpha,hard_negative
40520,ERalpha,positive
17435,ERalpha,hard_negative
19402,ERalpha,positive
91673,ERalpha,hard_negative
5387121,ERalpha,hard_negative
77956,ERalpha,hard_negative
6669,ERalpha,hard_negative
94544,ERalpha,hard_negative
67236,ERalpha,hard_negative
92387,ERalpha,hard_negative
6621,ERalpha,hard_negative
32912,ERalpha,positive
116814,ERalpha,hard_negative
86171,ERalpha,hard_negative
74937,ERalpha,hard_negative
5284462,ERalpha,positive
74448,ERalpha,hard_negative
61285,ERalpha,hard_negative
68539,ERalpha,positive
60196427,ERalpha,hard_negative
5364932,ERalpha,hard_negative
1730,ERalpha,hard_negative
23678979,ERalpha,positive
3033832,ERalpha,positive
42745,ERalpha,hard_negative
9690,ERalpha,hard_negative
19113,ERalpha,hard_negative
16115,ERalpha,positive
30709,ERalpha,hard_negative
22094,ERalpha,positive
38283,ERalpha,hard_negative
92873,ERalpha,positive
69827,ERalpha,hard_negative
31315,ERalpha,positive
67350,ERalpha,hard_negative
19079,ERalpha,hard_negative
3086172,ERalpha,hard_negative
36382,ERalpha,positive
2603,ERalpha,positive
14249,ERalpha,positive
23668353,ERalpha,positive
67215,ERalpha,hard_negative
26030,ERalpha,positive
7337,ERalpha,positive
93573,ERalpha,hard_negative
4534,ERalpha,positive
13254,ERalpha,hard_negative
77328,ERalpha,positive
53249535,ERalpha,positive
13783,ERalpha,positive
6857648,ERalpha,positive
11774,ERalpha,hard_negative
12797557,ERalpha,hard_negative
91677,ERalpha,hard_negative
33565,ERalpha,hard_negative
86210,ERalpha,positive
24321,ERalpha,hard_negative
9562059,ERalpha,positive
24180685,ERalpha,positive
6025,ERalpha,positive
9969573,ERalpha,hard_negative
41632,ERalpha,hard_negative
16682953,ERalpha,positive
121639,ERalpha,hard_negative
76464,ERalpha,hard_negative
10140,ERalpha,hard_negative
71612,ERalpha,positive
8380,ERalpha,hard_negative
4420067,ERalpha,positive
61031,ERalpha,positive
85025,ERalpha,positive
114994,ERalpha,hard_negative
9571016,ERalpha,positive
657220,ERalpha,positive
5281875,ERalpha,positive
70400,ERalpha,hard_negative
14716,ERalpha,hard_negative
60196435,ERalpha,positive
60196436,ERalpha,hard_negative
10068207,ERalpha,positive
9850056,ERalpha,hard_negative
16682834,ERalpha,positive
10345790,ERalpha,positive
65552,ERalpha,positive
25015677,ERalpha,positive
83656,ERalpha,positive
31100,ERalpha,positive
1549520,ERalpha,positive
23670838,ERalpha,positive
8765,ERalpha,hard_negative
15730,ERalpha,hard_negative
969491,ERalpha,hard_negative
7812,ERalpha,positive
7475,ERalpha,positive
17818,ERalpha,hard_negative
4984721,ERalpha,hard_negative
22704,ERalpha,hard_negative
213013,ERalpha,hard_negative
6436449,ERalpha,hard_negative
13709,ERalpha,hard_negative
11442,ERalpha,positive
4115,ERalpha,positive
41368,ERalpha,hard_negative
31070,ERalpha,hard_negative
74483,ERalpha,positive
47898,ERalpha,hard_negative
9403,AR,positive
16043,AR,positive
7048801,AR,hard_negative
66435,AR,positive
439501,AR,positive
5920,AR,hard_negative
2333,AR,hard_negative
443939,AR,positive
65758,AR,hard_negative
71203,AR,hard_negative
2170,AR,hard_negative
5283389,AR,hard_negative
1967,AR,positive
4768,AR,hard_negative
4211,AR,hard_negative
2554,AR,positive
2812,AR,positive
135398737,AR,hard_negative
2801,AR,hard_negative
3396,AR,hard_negative
3339,AR,hard_negative
3397,AR,positive
3333,AR,hard_negative
5280961,AR,positive
785,AR,hard_negative
54459,AR,positive
3957,AR,hard_negative
4122,AR,positive
4184,AR,hard_negative
51082,AR,positive
4011,AR,hard_negative
4507,AR,positive
4497,AR,positive
4488,AR,hard_negative
4477,AR,hard_negative
71398,AR,positive
4474,AR,hard_negative
4485,AR,hard_negative
4493,AR,positive
4615,AR,positive
4932,AR,hard_negative
61100,AR,hard_negative
5074,AR,hard_negative
5070,AR,positive
445154,AR,positive
37542,AR,hard_negative
5265,AR,hard_negative
24871267,AR,hard_negative
3117,AR,positive
62935,AR,hard_negative
5452,AR,hard_negative
2998,AR,hard_negative
71399,AR,hard_negative
5803,AR,positive
5857,AR,positive
3440,AR,positive
9552079,AR,positive
6708701,AR,positive
5995,AR,positive
4993,AR,positive
3278,AR,positive
6047,AR,positive
4044,AR,hard_negative
5333,AR,hard_negative
54682468,AR,positive
6166,AR,positive
54676038,AR,hard_negative
6231,AR,positive
5340,AR,hard_negative
6741,AR,positive
192197,AR,hard_negative
667476,AR,positive
6769,AR,positive
3293,AR,hard_negative
2337,AR,hard_negative
2482,AR,positive
7184,AR,positive
3735,AR,hard_negative
7638,AR,positive
5344,AR,positive
4641,AR,positive
2788,AR,hard_negative
8569,AR,hard_negative
